Direction,Separation_mu,Init_mu_q,Learning_Rate,Final_mu_q,Final_var_q,Iterations,Final_Loss
forward,1.0,-3.0,0.05,0.0541,2.0448,3000,1.7841
forward,1.0,0.0,0.05,-0.0033,1.9656,3000,1.7755
forward,1.0,3.0,0.05,-0.0317,1.9863,3000,1.7923
forward,2.0,-3.0,0.05,-0.0132,4.7453,3000,2.2576
forward,2.0,0.0,0.05,0.0106,4.8906,3000,2.2451
forward,2.0,3.0,0.05,-0.0254,5.1993,3000,2.2107
forward,4.0,-3.0,0.05,-0.0286,16.9244,3000,2.8303
forward,4.0,0.0,0.05,0.0997,16.9201,3000,2.835
forward,4.0,3.0,0.05,0.0212,16.9837,3000,2.8385
reverse,1.0,-3.0,0.05,0.0019,1.751,3000,0.0068
reverse,1.0,0.0,0.05,-0.0507,1.896,3000,0.0158
reverse,1.0,3.0,0.05,0.023,1.8709,3000,0.0014
reverse,2.0,-3.0,0.05,-0.003,4.3724,3000,0.2471
reverse,2.0,0.0,0.05,0.0097,4.0628,3000,0.2428
reverse,2.0,3.0,0.05,0.0252,4.3362,3000,0.221
reverse,4.0,-3.0,0.05,-3.9733,1.007,1221,0.6932
reverse,4.0,0.0,0.05,-0.1032,12.5762,3000,1.8105
reverse,4.0,3.0,0.05,4.0135,0.9739,2644,0.6933
